Nombre del Tratado,Bilateral,Lugar de Adopcion,Fecha de Adopcion,Estados-Organismos,Temas,Naturaleza del Tratado,Depositario,Suscribio Por Colombia,Vigente,Fecha Ley Aprobatoria,Numero Ley Aprobatoria,Sentencia Fecha Ley,Sentencia Numero,Decreto Fecha Diario Oficial,Decreto Numero Diario Oficial
ACUERDO DE LIBRE COMERCIO ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DE COREA,SI,SEUL,21/02/2013,REPUBLICA DE COREA,(NO REGISTRA),TRATADO,(NO REGISTRA),(NO REGISTRA),SI,26/12/2014,1747 DE 2014,15/07/2016,C-184/2016,04/10/2017,1621 DE 2017
CONVENIO DE COLABORACION CIENTIFICO-TECNICA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA POPULAR DE BULGARIA,SI,BOGOTA,15/06/1971,BULGARIA,(NO REGISTRA),TRATADO,(NO REGISTRA),ALFREDO VAZQUEZ MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
"PROTOCOLO PARA LA REPRESION DE ACTOS ILICITOS DE VIOLENCIA EN LOS AEROPUERTOS QUE PRESTEN SERVICIO A LA AVIACION CIVIL INTERNACIONAL, COMPLEMENTARIO DEL CONVENIO PARA LA REPRESION DE ACTOS ILICITOS CONTRA LA SEGURIDAD DE LA AVIACION CIVIL, HECHO EN MONTREAL EL 23 DE SEPTIEMBRE DE 1971",NO,MONTREAL,24/02/1988,ORGANIZACIÓN DE AVIACION CIVIL INTERNACIONAL-OACI,(NO REGISTRA),TRATADO,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),SI,31/07/2002,764 DE 2002,13/02/2004,C-354 DE 2003,02/06/2004,1755 DE 2004
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO QUE PERMITE A LOS RADIOAFICIONADOS DE AMBAS NACIONES OPERAR SUS ESTACIONES EN EL OTRO PAIS ENTRE LA REPUBLICA DE COLOMBIA Y EL REINO UNIDO,SI,BOGOTA,23/12/1977,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),INDALECIO LIEVANO AGUIRRE,SI,(NO REGISTRA),(NO REGISTRA),23/12/1977,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO  QUE PRORROGA EL ACUERDO COMPLEMENTARIO REFERENTE A LA COOPERACION TECNICA PARA EL MEJORAMIENTO DE LA ENSEÑANZA DEL INGLES ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DEL REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,SI,BOGOTA,06/02/1997,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MARIA EMMA MEJIA VELEZ - MINISTRA DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),06/02/1997,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO ADICIONAL AL ACUERDO DE COOPERACION TECNICA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE ITALIA PARA LA REALIZACION DE UN PROGRAMA DE DESARROLLO SANITARIO INTEGRADO EN COLOMBIA EN LA LOCALIDAD DE LA ESMERALDA BAJO SARARE REGION DE ARAUCA,SI,BOGOTA,12/07/1985,ITALIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),AUGUSTO RAMIREZ OCAMPO MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),12/07/1985,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYEN UN ACUERDO SOBRE EL PROYECTO SUMINISTRO DE EQUIPOS DE SONIDO E ILIMINACION AL MUNICIPIO DE POPAYAN CON DESTINO AL TEATRO MUNICIPAL GUILLERMO VALENCIA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE JAPON,SI,TOKIO,12/05/1999,JAPON,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),GUILLERMO FERNANDEZ DE SOTO - MNISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),12/05/1999,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE DONACION DE OBJETIVOS ESTRATEGICOS NO.514-008 PARA PROMOVER ALTERNATIVAS ECONOMICAS Y SOCIALES A LA PRODUCCION DE CULTIVOS ILICITOS ENMIENDA 7 ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LOS ESTADOS UNIDOS DE AMERICA,SI,BOGOTA,26/09/2003,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),CAMILO REYES - MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),26/09/2003,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO DE MODIFICACIONES AL CONVENIO INTERAMERICANO SOBRE EL PERMISO INTERNACIONAL DE RADIOAFICIONADO,NO,SANTIAGO DE CHILE,10/06/2003,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),NO,02/08/2012,1570 DE 2012,(NO REGISTRA),C-223,(NO REGISTRA),(NO REGISTRA)
ACUERDO SOBRE PRIVILEGIOS E INMUNIDADES PARA LAS REUNIONES ESTATUTARIAS ENTRE LA REPUBLICA DE COLOMBIA Y LA SECRETARIA GENERAL DE LA ORGANIZACION INTERNACIONAL DE POLICIA CRIMINARL INTERPOL,SI,LYON,26/09/2012,INTERPOL–OIPC,(NO REGISTRA),TRATADO,(NO REGISTRA),JUAN CARLOS PINZON BUENO - MINISTRO DE DEFENSA NACIONAL,SI,16/07/2013,1670 DE 2013,(NO REGISTRA),C-259 DE 2014,(NO REGISTRA),(NO REGISTRA)
